2018-05-20 20:47:58.347 | I | -[CameraEngine shutdown]_block_invoke | [line:510] | [MESSAGE] Capture completed
2018-05-20 20:47:58.810 | I | -[QuestionPageVC viewDidLoad] | [line:250] | [MESSAGE] Question page view did load. title: AiCure, class: AIQuestionPageTextInstructionViewController, answering
2018-05-20 20:47:58.810 | I | -[QuestionPageVC viewDidLoad] | [line:258] | [MESSAGE] Background recording is on.
2018-05-20 20:47:58.812 | I | -[AIFaceRecognitionCameraViewController viewDidLoad] | [line:43] | [MESSAGE] AIFaceRecognitionCameraViewController view did load
2018-05-20 20:47:58.812 | I | -[QuestionPageVC viewDidLoad] | [line:250] | [MESSAGE] Question page view did load. title: AiCure, class: AIFaceRecognitionCameraViewController, reviewing
2018-05-20 20:47:58.812 | I | -[QuestionPageVC viewDidLoad] | [line:283] | [MESSAGE] Background recording is off.
2018-05-20 20:47:59.500 | I | +[AINeuralNetworkConfigManager setCurrentMedicationName:shape:color:] | [line:94] | [MESSAGE] Set current medication name: , shape: (null), color: (null).
2018-05-20 20:47:59.635 | I | -[CameraEngine previewAndInitRecordVideo:recordAudio:videoName:CameraEngineScenario:] | [line:110] | [MESSAGE] Starting up server
2018-05-20 20:48:00.070 | I | -[StepsController goToCamera] | [line:531] | [MESSAGE] goToCamera
2018-05-20 20:48:00.071 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 2
2018-05-20 20:48:00.071 | I | -[CameraEngine startCapture] | [line:187] | [MESSAGE] starting capture
2018-05-20 20:48:27.780 | I | -[AIFaceRecognitionCameraViewController stopRecording] | [line:103] | [MESSAGE] AIFaceRecognitionCameraViewController stop recording
2018-05-20 20:48:27.780 | I | -[CameraEngine shutdown] | [line:504] | [MESSAGE] shutting down server
2018-05-20 20:48:28.041 | I | -[CameraEngine shutdown]_block_invoke | [line:510] | [MESSAGE] Capture completed
2018-05-20 20:48:28.476 | I | -[QuestionPageVC viewDidLoad] | [line:250] | [MESSAGE] Question page view did load. title: AiCure, class: AIQuestionPageTextInstructionViewController, answering
