2018-05-18 13:09:17.334 | I | -[DownloadTutorialVC handleComplete] | [line:221] | [MESSAGE] down lot tutorial handleComplete
2018-05-18 13:09:21.755 | I | -[DownloadTutorialVC handleComplete] | [line:221] | [MESSAGE] down lot tutorial handleComplete
2018-05-18 13:09:23.353 | I | -[DownloadTutorialVC handleComplete] | [line:221] | [MESSAGE] down lot tutorial handleComplete
2018-05-18 13:09:25.436 | I | -[TutorialStartVC viewDidLoad] | [line:30] | [MESSAGE] TutorialStartVC view did load
2018-05-18 13:09:27.306 | I | -[TutorialStartVC startButtonPressed:] | [line:98] | [MESSAGE] start Button Pressed
2018-05-18 13:09:28.119 | I | -[StepsController init:uiView:steps:viewController:recordVideo:] | [line:83] | [MESSAGE] should record video flag 0
2018-05-18 13:09:28.120 | I | -[AiViewTutorial viewDidLoad] | [line:67] | [MESSAGE] AiViewTutorial viewDidLoad
2018-05-18 13:09:28.646 | I | +[AIUtil checkPermission] | [line:1131] | [MESSAGE] camera access / mic access Authorized
2018-05-18 13:09:28.656 | I | -[CameraEngine previewAndInitRecordVideo:recordAudio:videoName:CameraEngineScenario:] | [line:110] | [MESSAGE] Starting up server
2018-05-18 13:09:29.791 | I | -[FlexibleVideoPlayerController playTutorialVideoOnView:step:] | [line:178] | [MESSAGE] playTutorialVideo full_version_face_identification_order_0_numpill_0_total_0
2018-05-18 13:10:20.414 | I | -[StepsController goToCamera] | [line:509] | [MESSAGE] goToCamera
2018-05-18 13:10:20.415 | I | -[StepsController defineCurrentStep] | [line:274] | [MESSAGE] defineCurrentStep 0
2018-05-18 13:10:20.773 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 0
2018-05-18 13:10:20.774 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 12
2018-05-18 13:10:20.929 | I | -[CameraEngine startCapture] | [line:187] | [MESSAGE] starting capture
2018-05-18 13:10:20.939 | I | -[FlexibleVideoPlayerController videoPlayingComplete:] | [line:193] | [MESSAGE] flex video videoPlayingComplete
2018-05-18 13:10:21.130 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 1
2018-05-18 13:10:21.196 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 6
2018-05-18 13:10:21.227 | I | -[CameraUIView displayConfirm] | [line:329] | [MESSAGE] show step confirm animation
2018-05-18 13:10:21.228 | I | -[AudioPlayer playAudioWithoutFlag:] | [line:49] | [MESSAGE] play audio name confirm
2018-05-18 13:10:23.420 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 5
2018-05-18 13:10:23.429 | I | -[FlexibleVideoPlayerController playTutorialVideoOnView:step:] | [line:178] | [MESSAGE] playTutorialVideo full_version_pill_identification_order_0_numpill_0_total_0
2018-05-18 13:10:49.740 | I | -[StepsController goToCamera] | [line:509] | [MESSAGE] goToCamera
2018-05-18 13:10:49.740 | I | -[StepsController defineCurrentStep] | [line:274] | [MESSAGE] defineCurrentStep 1
2018-05-18 13:10:49.744 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 0
2018-05-18 13:10:49.744 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 12
2018-05-18 13:10:49.766 | I | -[FlexibleVideoPlayerController videoPlayingComplete:] | [line:193] | [MESSAGE] flex video videoPlayingComplete
2018-05-18 13:10:49.966 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 1
2018-05-18 13:10:50.037 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 2
2018-05-18 13:11:05.076 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 3
2018-05-18 13:11:05.138 | I | -[FlexibleAudioPlayerController playAudioBasedOnErrorState:step:] | [line:68] | [MESSAGE] playAudioBasedOnErrorState C8_14_Show_Pill_Error_(New)
2018-05-18 13:11:05.138 | I | -[AudioPlayer playAudioName:] | [line:38] | [MESSAGE] play audio name C8_14_Show_Pill_Error_(New)
2018-05-18 13:11:05.252 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 2
2018-05-18 13:11:20.314 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 3
2018-05-18 13:11:20.375 | I | -[FlexibleAudioPlayerController playAudioBasedOnErrorState:step:] | [line:68] | [MESSAGE] playAudioBasedOnErrorState C8_14_Show_Pill_Error_(New)
2018-05-18 13:11:20.375 | I | -[AudioPlayer playAudioName:] | [line:38] | [MESSAGE] play audio name C8_14_Show_Pill_Error_(New)
2018-05-18 13:11:20.486 | I | -[CameraUIView displayError:] | [line:286] | [MESSAGE] show error animation; error type 6
2018-05-18 13:11:32.566 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 2
